"","dps","health_zone","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","V11","dps_sv","hz_sv"
"311","lomami","tshofa","Kasai Oriental",94,"Tshofa","Tshofa","lm Lomami Province","lm Tshofa Zone de Santé","tshofa","lomami","","lm Lomami","lm Tshofa"
"312","lomami","winkong","Kasai Oriental",41,"Winkong","Wikong","lm Lomami Province","lm Wikong Zone de Santé","wikong","lomami","","lm Lomami","lm Wikong"
"313","lualaba","bunkeya","Katanga",113,"Bunkeya","Bunkeya","ll Lualaba Province","ll Bunkeya Zone de Santé","bunkeya","lualaba","","ll Lualaba","ll Bunkeya"
"314","lualaba","dilala","Katanga",467,"Dilala","Dilala","ll Lualaba Province","ll Dilala Zone de Santé","dilala","lualaba","","ll Lualaba","ll Dilala"
"315","lualaba","dilolo","Katanga",488,"Dilolo","Dilolo","ll Lualaba Province","ll Dilolo Zone de Santé","dilolo","lualaba","","ll Lualaba","ll Dilolo"
"316","lualaba","fungurume","Katanga",354,"Fungurume","Fungurume","ll Lualaba Province","ll Fungurume Zone de Santé","fungurume","lualaba","","ll Lualaba","ll Fungurume"
"317","lualaba","kafakumba","Katanga",336,"Kafakumba","Kafakumba","ll Lualaba Province","ll Kafakumba Zone de Santé","kafakumba","lualaba","","ll Lualaba","ll Kafakumba"
"318","lualaba","kalemba","Katanga",491,"Kalemba","Kalamba","ll Lualaba Province","ll Kalamba Zone de Santé","kalamba","lualaba","","ll Lualaba","ll Kalamba"
"319","lualaba","kanzenze","Katanga",485,"Kanzenze","Kanzenze","ll Lualaba Province","ll Kanzenze Zone de Santé","kanzenze","lualaba","","ll Lualaba","ll Kanzenze"
"320","lualaba","kapanga","Katanga",486,"Kapanga","Kapanga","ll Lualaba Province","ll Kapanga Zone de Santé","kapanga","lualaba","","ll Lualaba","ll Kapanga"
"321","lualaba","kasaji","Katanga",487,"Kasaji","Kasaji","ll Lualaba Province","ll Kasaji Zone de Santé","kasaji","lualaba","","ll Lualaba","ll Kasaji"
"322","lualaba","lualaba","Katanga",283,"Lualaba","Lualaba","ll Lualaba Province","ll Lualaba Zone de Santé","lwalaba","lualaba","","ll Lualaba","ll Lualaba"
"323","lualaba","lubudi","Katanga",469,"Lubudi","Lubudi","ll Lualaba Province","ll Lubudi Zone de Santé","lubudi","lualaba","","ll Lualaba","ll Lubudi"
"324","lualaba","manika","Katanga",492,"Manika","Manika","ll Lualaba Province","ll Manika Zone de Santé","manika","lualaba","","ll Lualaba","ll Manika"
"325","lualaba","mutshatsha","Katanga",468,"Mutshatsha","Mutshatsha","ll Lualaba Province","ll Mutshatsha Zone de Santé","mutshatsha","lualaba","","ll Lualaba","ll Mutshatsha"
"326","lualaba","sandoa","Katanga",489,"Sandoa","Sandoa","ll Lualaba Province","ll Sandoa Zone de Santé","sandoa","lualaba","","ll Lualaba","ll Sandoa"
"327","mai-ndombe","bandjau","Bandundu",166,"Bandjau","Banjow Moke","maindombe","md Banzow Moke Zone de Santé","bandjow","maindombe"," note: added this because it was in snis data, took a random health zone from that province to use","md Maindombe","md Banzow Moke"
"328","mai-ndombe","bandjau","Bandundu",166,"Bandjau","Banjow Moke","md Maindombe Province","md Banzow Moke Zone de Santé","bandjow","mai-ndombe","","md Maindombe","md Banzow Moke"
"329","mai-ndombe","bokoro","Bandundu",140,"Bokoro","Bokoro","md Maindombe Province","md Bokoro Zone de Santé","bokoro","mai-ndombe","","md Maindombe","md Bokoro"
"330","mai-ndombe","bolobo","Bandundu",134,"Bolobo","Bolobo","md Maindombe Province","md Bolobo Zone de Santé","bolobo","mai-ndombe","","md Maindombe","md Bolobo"
"331","mai-ndombe","bosobe","Bandundu",139,"Bosobe","Bosobe","md Maindombe Province","md Bosobe Zone de Santé","bosobe","mai-ndombe","","md Maindombe","md Bosobe"
"332","mai-ndombe","inongo","Bandundu",163,"Inongo","Inongo","md Maindombe Province","md Inongo Zone de Santé","inongo","mai-ndombe","","md Maindombe","md Inongo"
"333","mai-ndombe","kiri","Bandundu",161,"Kiri","Kiri","md Maindombe Province","md Kiri Zone de Santé","kiri","mai-ndombe","","md Maindombe","md Kiri"
"334","mai-ndombe","kwamouth","Bandundu",419,"Kwamouth","Kwamouth","md Maindombe Province","md Kwamouth Zone de Santé","kwamouth","mai-ndombe","","md Maindombe","md Kwamouth"
"335","mai-ndombe","mimia","Bandundu",138,"Mimia","Mimia","md Maindombe Province","md Mimia Zone de Santé","mimia","mai-ndombe","","md Maindombe","md Mimia"
"336","mai-ndombe","mushie","Bandundu",164,"Mushie","Mushie","md Maindombe Province","md Mushie Zone de Santé","mushie","mai-ndombe","","md Maindombe","md Mushie"
"337","mai-ndombe","nioki","Bandundu",135,"Nioki","Nioki","md Maindombe Province","md Nioki Zone de Santé","nioki","mai-ndombe","","md Maindombe","md Nioki"
"338","mai-ndombe","oshwe","Bandundu",137,"Oshwe","Oshwe","md Maindombe Province","md Oshwe Zone de Santé","oshwe","mai-ndombe","","md Maindombe","md Oshwe"
"339","mai-ndombe","penzwa","Bandundu",162,"Penzwa","Pendjua","md Maindombe Province","md Pendjwa Zone de Santé","pendjwa","mai-ndombe","","md Maindombe","md Pendjwa"
"340","mai-ndombe","tandembele","Bandundu",165,"Tandembele","Ntand Embelo","md Maindombe Province","md Ntandembelo Zone de Santé","ntandembele","mai-ndombe","","md Maindombe","md Ntandembelo"
"341","mai-ndombe","yumbi","Bandundu",420,"Yumbi","Yumbi","md Maindombe Province","md Yumbi Zone de Santé","yumbi","mai-ndombe","","md Maindombe","md Yumbi"
"342","maniema","alunguli","Maniema",327,"Alunguli","Alunguli","mn Maniema Province","mn Alunguli Zone de Santé","alunguli","maniema","","mn Maniema","mn Alunguli"
"343","maniema","ferekeni","Maniema",402,"Ferekeni","Ferekeni","mn Maniema Province","mn Ferekeni Zone de Santé","ferekeni","maniema","","mn Maniema","mn Ferekeni"
"344","maniema","kabambare","Maniema",382,"Kabambare","Kabambare","mn Maniema Province","mn Kabambare Zone de Santé","kabambare","maniema","","mn Maniema","mn Kabambare"
"345","maniema","kailo","Maniema",454,"Kailo","Kailo","mn Maniema Province","mn Kailo Zone de Santé","kailo","maniema","","mn Maniema","mn Kailo"
"346","maniema","kalima","Maniema",384,"Kalima","Kalima","mn Maniema Province","mn Kalima Zone de Santé","kalima","maniema","","mn Maniema","mn Kalima"
"347","maniema","kampene","Maniema",376,"Kampene","Kampene","mn Maniema Province","mn Kampene Zone de Santé","kampene","maniema","","mn Maniema","mn Kampene"
"348","maniema","kasongo","Maniema",356,"Kasongo","Kasongo","mn Maniema Province","mn Kasongo Zone de Santé","kasongo","maniema","","mn Maniema","mn Kasongo"
"349","maniema","kibombo","Maniema",325,"Kibombo","Kibombo","mn Maniema Province","mn Kibombo Zone de Santé","kibombo","maniema","","mn Maniema","mn Kibombo"
"350","maniema","kindu","Maniema",326,"Kindu","Kindu","mn Maniema Province","mn Kindu Zone de Santé","kindu","maniema","","mn Maniema","mn Kindu"
"351","maniema","kunda","Maniema",357,"Kunda","Kunda","mn Maniema Province","mn Kunda Zone de Santé","kunda","maniema","","mn Maniema","mn Kunda"
"352","maniema","lubutu","Maniema",405,"Lubutu","Lubutu","mn Maniema Province","mn Lubutu Zone de Santé","lubutu","maniema","","mn Maniema","mn Lubutu"
"353","maniema","lusangi","Maniema",358,"Lusangi","Lusangi","mn Maniema Province","mn Lusangi Zone de Santé","lusangi","maniema","","mn Maniema","mn Lusangi"
"354","maniema","obokote","Maniema",401,"Obokote","Obokote","mn Maniema Province","mn Obokote Zone de Santé","obokote","maniema","","mn Maniema","mn Obokote"
"355","maniema","pangi","Maniema",383,"Pangi","Pangi","mn Maniema Province","mn Pangi Zone de Santé","pangi","maniema","","mn Maniema","mn Pangi"
"356","maniema","punia","Maniema",449,"Punia","Punia","mn Maniema Province","mn Punia Zone de Santé","punia","maniema","","mn Maniema","mn Punia"
"357","maniema","salamabila","Maniema",375,"Salamabila","Salamabila","mn Maniema Province","mn Saramabila Zone de Santé","saramabil","maniema","","mn Maniema","mn Saramabila"
"358","maniema","samba","Maniema",355,"Samba","Samba","mn Maniema Province","mn Samba Zone de Santé","samba","maniema","","mn Maniema","mn Samba"
"359","maniema","tumba","Maniema",359,"Tumba","Tunda","mn Maniema Province","mn Tunda Zone de Santé","tunda","maniema","","mn Maniema","mn Tunda"
"360","mongala","binga","Equateur",312,"Binga","Binga","mg Mongala Province","mg Binga Zone de Santé","binga","mongala","","mg Mongala","mg Binga"
"361","mongala","bongandanga","Equateur",3,"Bongandanga","Bongandanga","mg Mongala Province","mg Bongandanga Zone de Santé","bongandanganda","mongala","","mg Mongala","mg Bongandanga"
"362","mongala","bosomanzi","Equateur",316,"Bosomanzi","Bosomanzi","mg Mongala Province","mg Boso Manzi Zone de Santé","bosomanzi","mongala","","mg Mongala","mg Boso Manzi"
"363","mongala","bosomondanda","Equateur",310,"Bosomondanda","Bosomodanda","mg Mongala Province","mg Boso Mondanda Zone de Santé","bosomondanda","mongala","","mg Mongala","mg Boso Mondanda"
"364","mongala","bosondjo","Equateur",394,"Bosondjo","Bosondjo","mg Mongala Province","mg Bosondjo Zone de Santé","bosondjo","mongala","","mg Mongala","mg Bosondjo"
"365","mongala","bumba","Equateur",395,"Bumba","Bumba","mg Mongala Province","mg Bumba Zone de Santé","bumba","mongala","","mg Mongala","mg Bumba"
"366","mongala","lisala","Equateur",314,"Lisala","Lisala","mg Mongala Province","mg Lisala Zone de Santé","lisala","mongala","","mg Mongala","mg Lisala"
"367","mongala","lolo","Equateur",389,"Lolo","Lolo","mg Mongala Province","mg Lolo Zone de Santé","lolo","mongala","","mg Mongala","mg Lolo"
"368","mongala","pimu","Equateur",1,"Pimu","Pimu","mg Mongala Province","mg Pimu Zone de Santé","pimu","mongala","","mg Mongala","mg Pimu"
"369","mongala","yamaluka","Equateur",315,"Yamaluka","Yamaluka","mg Mongala Province","mg Yamaluka Zone de Santé","yamaluka","mongala","","mg Mongala","mg Yamaluka"
"370","mongala","yambuku","Equateur",392,"Yambuku","Yambuku","mg Mongala Province","mg Yambuku Zone de Santé","yambuku","mongala","","mg Mongala","mg Yambuku"
"371","mongala","yamongili","Equateur",390,"Yamongili","Yamongili","mg Mongala Province","mg Yamongili Zone de Santé","yamongili","mongala","","mg Mongala","mg Yamongili"
"372","nord-kivu","alimbongo","Nord Kivu",64,"Alimbongo",NA,"nk Nord Kivu Province","nk Alimbongo Zone de Santé","alimbongo","nord kivu","","nk Nord Kivu","nk Alimbongo"
"373","nord-kivu","bambo","Nord Kivu",107,"Bambo",NA,"nk Nord Kivu Province","nk Bambo Zone de Santé","bambo","nord kivu","","nk Nord Kivu","nk Bambo"
"374","nord-kivu","beni","Nord Kivu",57,"Beni","Beni","nk Nord Kivu Province","nk Beni Zone de Santé","beni","nord kivu","","nk Nord Kivu","nk Beni"
"375","nord-kivu","biena","Nord Kivu",46,"Biena","Biena","nk Nord Kivu Province","nk Biena Zone de Santé","biena","nord kivu","","nk Nord Kivu","nk Biena"
"376","nord-kivu","binza","Nord Kivu",53,"Binza","Binza","nk Nord Kivu Province","nk Binza Zone de Santé","binza","nord kivu","","nk Nord Kivu","nk Binza"
"377","nord-kivu","birambizo","Nord Kivu",54,"Birambizo","Birambizo","nk Nord Kivu Province","nk Birambizo Zone de Santé","birambizo","nord kivu","","nk Nord Kivu","nk Birambizo"
"378","nord-kivu","butembo","Nord Kivu",60,"Butembo","Butembo","nk Nord Kivu Province","nk Butembo Zone de Santé","butembo","nord kivu","","nk Nord Kivu","nk Butembo"
"379","nord-kivu","goma","Nord Kivu",504,"Goma","Goma","nk Nord Kivu Province","nk Goma Zone de Santé","goma","nord kivu","","nk Nord Kivu","nk Goma"
"380","nord-kivu","itebero","Nord Kivu",197,"Itebero",NA,"nk Nord Kivu Province","nk Itebero Zone de Santé","itebero","nord kivu","","nk Nord Kivu","nk Itebero"
"381","nord-kivu","kalunguta","Nord Kivu",56,"Kalunguta",NA,"nk Nord Kivu Province","nk Kalunguta Zone de Santé","kalunguta","nord kivu","","nk Nord Kivu","nk Kalunguta"
"382","nord-kivu","kamango","Nord Kivu",51,"Kamango",NA,"nk Nord Kivu Province","nk Kamango Zone de Santé","kamango","nord kivu","","nk Nord Kivu","nk Kamango"
"383","nord-kivu","karisimbi","Nord Kivu",503,"Karisimbi","Karisimbi","nk Nord Kivu Province","nk Karisimbi Zone de Santé","karisimbi","nord kivu","","nk Nord Kivu","nk Karisimbi"
"384","nord-kivu","katwa","Nord Kivu",61,"Katwa","Katwa","nk Nord Kivu Province","nk Katwa Zone de Santé","katwa","nord kivu","","nk Nord Kivu","nk Katwa"
"385","nord-kivu","kayna","Nord Kivu",63,"Kayna","Kayna","nk Nord Kivu Province","nk Kayna Zone de Santé","kayna","nord kivu","","nk Nord Kivu","nk Kayna"
"386","nord-kivu","kibirizi","Nord Kivu",55,"Kibirizi",NA,"nk Nord Kivu Province","nk Kibirizi Zone de Santé","kibirizi","nord kivu","","nk Nord Kivu","nk Kibirizi"
"387","nord-kivu","kibua","Nord Kivu",104,"Kibua",NA,"nk Nord Kivu Province","nk Kibua Zone de Santé","kibua","nord kivu","","nk Nord Kivu","nk Kibua"
"388","nord-kivu","kirotse","Nord Kivu",499,"Kirotse","Kirotshe","nk Nord Kivu Province","nk Kirotshe Zone de Santé","kirotshe","nord kivu","","nk Nord Kivu","nk Kirotshe"
"389","nord-kivu","kyondo","Nord Kivu",44,"Kyondo","Kyondo","nk Nord Kivu Province","nk Kyondo Zone de Santé","kyondo","nord kivu","","nk Nord Kivu","nk Kyondo"
"390","nord-kivu","lubero","Nord Kivu",48,"Lubero","Lubero","nk Nord Kivu Province","nk Lubero Zone de Santé","lubero","nord kivu","","nk Nord Kivu","nk Lubero"
"391","nord-kivu","mabalako","Nord Kivu",45,"Mabalako",NA,"nk Nord Kivu Province","nk Mabalako Zone de Santé","mabalako","nord kivu","","nk Nord Kivu","nk Mabalako"
"392","nord-kivu","manguredjipa","Nord Kivu",49,"Manguredjipa","Manguredjipa","nk Nord Kivu Province","nk Manguredjipa Zone de Santé","mangupa","nord kivu","","nk Nord Kivu","nk Manguredjipa"
"393","nord-kivu","masereka","Nord Kivu",47,"Masereka","Masereka","nk Nord Kivu Province","nk Masereka Zone de Santé","masereka","nord kivu","","nk Nord Kivu","nk Masereka"
"394","nord-kivu","masisi","Nord Kivu",103,"Kitoyi",NA,"nk Nord Kivu Province","nk Katoyi Zone de Santé","masisi","nord kivu","","nk Nord Kivu","nk Katoyi"
"395","nord-kivu","masisi","Nord Kivu",103,"Kitoyi",NA,"nk Nord Kivu Province","nk Katoyi Zone de Santé","masisi","nord kivu","","nk Nord Kivu","nk Masisi"
"396","nord-kivu","masisi","Nord Kivu",105,"Masisi","Masisi","nk Nord Kivu Province","nk Masisi Zone de Santé","masisi","nord kivu","","nk Nord Kivu","nk Katoyi"
"397","nord-kivu","masisi","Nord Kivu",105,"Masisi","Masisi","nk Nord Kivu Province","nk Masisi Zone de Santé","masisi","nord kivu","","nk Nord Kivu","nk Masisi"
"398","nord-kivu","musienene","Nord Kivu",59,"Musienene","Musienene","nk Nord Kivu Province","nk Musienene Zone de Santé","musienene","nord kivu","","nk Nord Kivu","nk Musienene"
"399","nord-kivu","mutwanga","Nord Kivu",50,"Mutwanga","Mutwanga","nk Nord Kivu Province","nk Mutwanga Zone de Santé","mutwanga","nord kivu","","nk Nord Kivu","nk Mutwanga"
"400","nord-kivu","mweso","Nord Kivu",106,"Mweso","Mweso","nk Nord Kivu Province","nk Mweso Zone de Santé","mweso","nord kivu","","nk Nord Kivu","nk Mweso"
"401","nord-kivu","nyiragongo","Nord Kivu",502,"Nyiragongo",NA,"nk Nord Kivu Province","nk Nyiragongo Zone de Santé","nyiragongo","nord kivu","","nk Nord Kivu","nk Nyiragongo"
"402","nord-kivu","oicha","Nord Kivu",52,"Oicha","Oicha","nk Nord Kivu Province","nk Oicha Zone de Santé","oicha","nord kivu","","nk Nord Kivu","nk Oicha"
"403","nord-kivu","pinga","Nord Kivu",108,"Pinga","Pinga","nk Nord Kivu Province","nk Pinga Zone de Santé","pinga","nord kivu","","nk Nord Kivu","nk Pinga"
"404","nord-kivu","rutshuru","Nord Kivu",506,"Rutshuru","Rutshuru","nk Nord Kivu Province","nk Rutshuru Zone de Santé","rutshuru","nord kivu","","nk Nord Kivu","nk Rutshuru"
"405","nord-kivu","rwanguba","Nord Kivu",505,"Rwanguba","Rwanguba","nk Nord Kivu Province","nk Rwanguba Zone de Santé","rwanguba","nord kivu","","nk Nord Kivu","nk Rwanguba"
"406","nord-kivu","vohovi","Nord Kivu",58,"Vohovi","Vuhovi","nk Nord Kivu Province","nk Vuhovi Zone de Santé","vuhovi","nord kivu","","nk Nord Kivu","nk Vuhovi"
"407","nord-kivu","walikale","Nord Kivu",109,"Walikale","Walikale","nk Nord Kivu Province","nk Walikale Zone de Santé","walikale","nord kivu","","nk Nord Kivu","nk Walikale"
"408","nord-ubangi","abuzi","Equateur",391,"Abuzi","Abuzi","nu Nord Ubangi Province","nu Abuzi Zone de Santé","abuzi","nord ubangi","","nu Nord Ubangi","nu Abuzi"
"409","nord-ubangi","bili","Equateur",431,"Bili","Bili","nu Nord Ubangi Province","nu Bili Zone de Santé","bili","nord ubangi","","nu Nord Ubangi","nu Bili"
"410","nord-ubangi","bili","Province Oriental",437,"Bili","Bili","nu Nord Ubangi Province","nu Bili Zone de Santé","bili","nord ubangi","","nu Nord Ubangi","nu Bili"
"411","nord-ubangi","bosobolo","Equateur",430,"Bosobolo","Bosobolo","nu Nord Ubangi Province","nu Bosobolo Zone de Santé","bosobolo","nord ubangi","","nu Nord Ubangi","nu Bosobolo"
"412","nord-ubangi","businga","Equateur",317,"Businga","Businga","nu Nord Ubangi Province","nu Businga Zone de Santé","businga","nord ubangi","","nu Nord Ubangi","nu Businga"
"413","nord-ubangi","gbadolite","Equateur",432,"Gbadolite","Gbadolite","nu Nord Ubangi Province","nu Gbadolite Zone de Santé","gbadolite","nord ubangi","","nu Nord Ubangi","nu Gbadolite"
"414","nord-ubangi","karawa","Equateur",319,"Karawa","Karawa","nu Nord Ubangi Province","nu Karawa Zone de Santé","karawa","nord ubangi","","nu Nord Ubangi","nu Karawa"
"415","nord-ubangi","loko","Equateur",308,"Loko","Loko","nu Nord Ubangi Province","nu Loko Zone de Santé","loko","nord ubangi","","nu Nord Ubangi","nu Loko"
"416","nord-ubangi","mobayi-mbongo","Equateur",433,"Mobayi Mbongo","Mobayi","nu Nord Ubangi Province","nu Mobayi Mbongo Zone de Santé","mobayi mbongo","nord ubangi","","nu Nord Ubangi","nu Mobayi Mbongo"
"417","nord-ubangi","wapinda","Equateur",393,"wapinda","Wapinda","nu Nord Ubangi Province","nu Wapinda Zone de Santé","wapinda","nord ubangi","","nu Nord Ubangi","nu Wapinda"
"418","nord-ubangi","wasolo","Equateur",385,"Wasolo","Wasolo","nu Nord Ubangi Province","nu Wasolo Zone de Santé","wasolo","nord ubangi","","nu Nord Ubangi","nu Wasolo"
"419","nord-ubangi","yakoma","Equateur",434,"Yakoma","Yakoma","nu Nord Ubangi Province","nu Yakoma Zone de Santé","yakoma","nord ubangi","","nu Nord Ubangi","nu Yakoma"
"420","sankuru","bena-dibele","Kasai Oriental",457,"Bena Dibele","Bena-Dibele","sn Sankuru Province","sn Bena Dibele Zone de Santé","bena dibele","sankuru","","sn Sankuru","sn Bena Dibele"
"421","sankuru","dikungu-tshumbe","Kasai Oriental",98,"Dikungu Tshumbe","Dikungu","sn Sankuru Province","sn Dikungu Zone de Santé","dikungu","sankuru","","sn Sankuru","sn Dikungu"
"422","sankuru","djalo-djeka","Kasai Oriental",102,"Djalo Djeka","Djalo-Ndjeka","sn Sankuru Province","sn Djalo Djeka Zone de Santé","djalo djeka","sankuru","","sn Sankuru","sn Djalo Djeka"
"423","sankuru","katako-kombe","Kasai Oriental",453,"Katako Kombe","Katako-Kombe","sn Sankuru Province","sn Katako Kombe Zone de Santé","kata kokombe","sankuru","","sn Sankuru","sn Katako Kombe"
"424","sankuru","kole","Kasai Oriental",65,"Kole","Kole","sn Sankuru Province","sn Kole Zone de Santé","kole","sankuru","","sn Sankuru","sn Kole"
"425","sankuru","lodja","Kasai Oriental",100,"Lodja","Lodja","sn Sankuru Province","sn Lodja Zone de Santé","lodja","sankuru","","sn Sankuru","sn Lodja"
"426","sankuru","lomela","Kasai Oriental",452,"Lomela","Lomela","sn Sankuru Province","sn Lomela Zone de Santé","lomela","sankuru","","sn Sankuru","sn Lomela"
"427","sankuru","lusambo","Kasai Oriental",97,"Lusambo","Lusambo","sn Sankuru Province","sn Lusambo Zone de Santé","lusambo","sankuru","","sn Sankuru","sn Lusambo"
"428","sankuru","minga","Kasai Oriental",96,"Minga","Minga","sn Sankuru Province","sn Minga Zone de Santé","minga","sankuru","","sn Sankuru","sn Minga"
"429","sankuru","omondjadi","Kasai Oriental",101,"Omondjadi","Omendjadi","sn Sankuru Province","sn Omendjadi Zone de Santé","omondjadi","sankuru","","sn Sankuru","sn Omendjadi"
"430","sankuru","ototo",NA,NA,NA,NA,"sn Sankuru Province","sn Ototo Zone de Santé","ototo","sankuru","","sn Sankuru","sn Ototo"
"431","sankuru","pania-mutombo","Kasai Oriental",95,"Pania Mutombo","Pania Mutombo","sn Sankuru Province","sn Pania Mutombo Zone de Santé","pania mutombo","sankuru","","sn Sankuru","sn Pania Mutombo"
"432","sankuru","tshudi-loto","Kasai Oriental",456,"Tshudi Loto","Tshudi-Loto","sn Sankuru Province","sn Tshudi Loto Zone de Santé","tshudi loto","sankuru","","sn Sankuru","sn Tshudi Loto"
"433","sankuru","tshumbe",NA,NA,NA,NA,"sn Sankuru Province","sn Tshumbe Zone de Santé","tshumbe","sankuru","","sn Sankuru","sn Tshumbe"
"434","sankuru","vanga-kete","Kasai Oriental",99,"Vanga Kete","Vanga-Kete","sn Sankuru Province","sn Vanga Kete Zone de Santé","vanga kete","sankuru","","sn Sankuru","sn Vanga Kete"
"435","sankuru","wembo-nyama","Kasai Oriental",62,"Wembo Nyama","Wembo-Nyama","sn Sankuru Province","sn Wembo Nyama Zone de Santé","wembo nyama","sankuru","","sn Sankuru","sn Wembo Nyama"
"436","sud-kivu","bagira-kasha","Sud Kivu",234,"Bagira Kasha","Bagira-Kasha","sk Sud Kivu Province","sk Bagira Zone de Santé","bagira","sud kivu","","sk Sud Kivu","sk Bagira"
"437","sud-kivu","bunyakiri","Sud Kivu",364,"Bunyakiri","Bunyakiri","sk Sud Kivu Province","sk Bunyakiri Zone de Santé","bunyakiri","sud kivu","","sk Sud Kivu","sk Bunyakiri"
"438","sud-kivu","fizi","Sud Kivu",379,"Fizi","Fizi","sk Sud Kivu Province","sk Fizi Zone de Santé","fizi","sud kivu","","sk Sud Kivu","sk Fizi"
"439","sud-kivu","ibanda","Sud Kivu",232,"Ibanda","Ibanda","sk Sud Kivu Province","sk Ibanda Zone de Santé","ibanda","sud kivu","","sk Sud Kivu","sk Ibanda"
"440","sud-kivu","idjwi","Sud Kivu",196,"Idjwi","Idjwi","sk Sud Kivu Province","sk Idjwi Zone de Santé","idjwi","sud kivu","","sk Sud Kivu","sk Idjwi"
"441","sud-kivu","itombwe","Sud Kivu",370,"Itombwe","Itombwe","sk Sud Kivu Province","sk Itombwe Zone de Santé","itombwe","sud kivu","","sk Sud Kivu","sk Itombwe"
"442","sud-kivu","kabare","Sud Kivu",198,"Kabare","Kabare","sk Sud Kivu Province","sk Kabare Zone de Santé","kabare","sud kivu","","sk Sud Kivu","sk Kabare"
"443","sud-kivu","kahele","Sud Kivu",365,"Kahele","Kalehe","sk Sud Kivu Province","sk Kalehe Zone de Santé","kalehe","sud kivu","","sk Sud Kivu","sk Kalehe"
"444","sud-kivu","kakole","Sud Kivu",377,"Kakole","Kalole","sk Sud Kivu Province","sk Kalole Zone de Santé","kalole","sud kivu","","sk Sud Kivu","sk Kalole"
"445","sud-kivu","kalonge","Sud Kivu",362,"Kalonge","Kalonge","sk Sud Kivu Province","sk Kalonge Zone de Santé","kalonge","sud kivu","","sk Sud Kivu","sk Kalonge"
"446","sud-kivu","kamituga","Sud Kivu",368,"Kamituga","Kamituga","sk Sud Kivu Province","sk Kamituga Zone de Santé","kamituga","sud kivu","","sk Sud Kivu","sk Kamituga"
"447","sud-kivu","kandutu","Sud Kivu",233,"Kandutu","Kadutu","sk Sud Kivu Province","sk Kadutu Zone de Santé","kadutu","sud kivu","","sk Sud Kivu","sk Kadutu"
"448","sud-kivu","kaniola","Sud Kivu",361,"Kaniola","Kaniola","sk Sud Kivu Province","sk Kaniola Zone de Santé","kaniola","sud kivu","","sk Sud Kivu","sk Kaniola"
"449","sud-kivu","katana","Sud Kivu",501,"Katana","Katana","sk Sud Kivu Province","sk Katana Zone de Santé","katana","sud kivu","","sk Sud Kivu","sk Katana"
"450","sud-kivu","kaziba","Sud Kivu",193,"Kaziba","Kaziba","sk Sud Kivu Province","sk Kaziba Zone de Santé","kaziba","sud kivu","","sk Sud Kivu","sk Kaziba"
"451","sud-kivu","kimbi-lulenge","Sud Kivu",381,"Kimbi Lulenge","Kimbi Lulenge","sk Sud Kivu Province","sk Kimbi Lulenge Zone de Santé","lulenge","sud kivu","","sk Sud Kivu","sk Kimbi Lulenge"
"452","sud-kivu","kitutu","Sud Kivu",367,"Kitutu","Kitutu","sk Sud Kivu Province","sk Kitutu Zone de Santé","kitutu","sud kivu","","sk Sud Kivu","sk Kitutu"
"453","sud-kivu","lemera","Sud Kivu",374,"Lemera","Lemera","sk Sud Kivu Province","sk Lemera Zone de Santé","lemera","sud kivu","","sk Sud Kivu","sk Lemera"
"454","sud-kivu","lulingu","Sud Kivu",448,"Lulingu","Lulingu","sk Sud Kivu Province","sk Lulingu Zone de Santé","lulingu","sud kivu","","sk Sud Kivu","sk Lulingu"
"455","sud-kivu","minembwe","Sud Kivu",371,"Minembwe","Minembwe","sk Sud Kivu Province","sk Minembwe Zone de Santé","minembwe","sud kivu","","sk Sud Kivu","sk Minembwe"
"456","sud-kivu","minova","Sud Kivu",500,"Minova","Minova","sk Sud Kivu Province","sk Minova Zone de Santé","minova","sud kivu","","sk Sud Kivu","sk Minova"
"457","sud-kivu","miti-murhesa","Sud Kivu",363,"Miti Murhesa","Miti - Murhesa","sk Sud Kivu Province","sk Miti Murhesa Zone de Santé","miti-murhesa","sud kivu","","sk Sud Kivu","sk Miti Murhesa"
"458","sud-kivu","mubumbano","Sud Kivu",199,"Mubumbano","Mubumbano","sk Sud Kivu Province","sk Mubumbano Zone de Santé","mubumbano","sud kivu","","sk Sud Kivu","sk Mubumbano"
"459","sud-kivu","mulungu","Sud Kivu",360,"Mulungu","Mulungu","sk Sud Kivu Province","sk Mulungu Zone de Santé","mulungu","sud kivu","","sk Sud Kivu","sk Mulungu"
"460","sud-kivu","mwana","Sud Kivu",192,"Mwana","Mwana","sk Sud Kivu Province","sk Mwana Zone de Santé","mwana","sud kivu","","sk Sud Kivu","sk Mwana"
"461","sud-kivu","mwenga","Sud Kivu",369,"Mwenga","Mwenga","sk Sud Kivu Province","sk Mwenga Zone de Santé","mwenga","sud kivu","","sk Sud Kivu","sk Mwenga"
"462","sud-kivu","nundu","Sud Kivu",372,"Nundu","Nundu","sk Sud Kivu Province","sk Nundu Zone de Santé","nundu","sud kivu","","sk Sud Kivu","sk Nundu"
"463","sud-kivu","nyangezi","Sud Kivu",195,"Nyangezi","Nyangezi","sk Sud Kivu Province","sk Nyangezi Zone de Santé","nyangezi","sud kivu","","sk Sud Kivu","sk Nyangezi"
