"","health_zone","dps","province_shp","zs_id","hz_shp1","hz_shp2","dps_snis","hz_snis","hz_pnlp","dps_pnlp","hz_snis_cleaned","hz_pnlt"
"347","masina-i","kinshasa","Kinshasa","266","Masina I","Masina I","kn Kinshasa Province","kn Masina 1 Zone de Santé","masina1","kinshasa","masina-1","masina-i"
"348","masina-ii","kinshasa","Kinshasa","265","Masina II","Masina II","kn Kinshasa Province","kn Masina 2 Zone de Santé","masina2","kinshasa","masina-2","masina-ii"
"349","masisi","nord-kivu","Nord Kivu","103","Kitoyi","NA","nk Nord Kivu Province","nk Katoyi Zone de Santé","masisi","nord kivu","katoyi",NA
"350","masisi","nord-kivu","Nord Kivu","105","Masisi","Masisi","nk Nord Kivu Province","nk Masisi Zone de Santé","masisi","nord kivu","masisi",NA
"351","massa","kongo-central","Bas-Congo","418","Massa","Masa","kc Kongo Central Province","kc Massa Zone de Santé","masa","bas congo","massa","masa"
"352","matadi","kongo-central","Bas-Congo","243","Matadi","Matadi","kc Kongo Central Province","kc Matadi Zone de Santé","matadi","bas congo","matadi","matadi"
"353","matete","kinshasa","Kinshasa","250","Matete","Matete","kn Kinshasa Province","kn Matete Zone de Santé","matete","kinshasa","matete","matete"
"354","mawuya","sud-ubangi","Equateur","427","Mawuya","Mawuya","su Sud Ubangi Province","su Mawuya Zone de Santé","mawuya","sud ubangi","mawuya","mawuya"
"355","mbandaka","equateur","Equateur","299","Mbandaka","Mbandaka","eq Equateur Province","eq Mbandaka Zone de Santé","mbandaka","equateur","mbandaka","mbandaka"
"356","mbanza-ngungu","kongo-central","Bas-Congo","131","Mbanza Ngungu","Mbanza-Ngungu","kc Kongo Central Province","kc Mbanza Ngungu Zone de Santé","mbanza ngungu","bas congo","mbanza-ngungu","mbanza-ngungu"
"357","mbaya","sud-ubangi","Equateur","322","Mbaya","Mbaya","su Sud Ubangi Province","su Mbaya Zone de Santé","mbaya","sud ubangi","mbaya","mbaya"
"358","mbomomange","NA","Province Oriental","225","Mbomomange","NA","NA","NA","NA","NA",NA,NA
"359","mbulala","tanganyika","Katanga","465","Mbulala","Mbulula","tn Tanganyika Province","tn Mbulula Zone de Santé","mbulula","tanganyika","mbulula","mbulula"
"360","miabi","kasai-oriental","Kasai Oriental","66","Miabi","Miabi","ke Kasai Oriental Province","ke Miabi Zone de Santé","miabi","kasai oriental","miabi","miabi"
"361","mikalayi","kasai-central","Kasai Occidental","25","Mikalayi","Mikalayi","kr Kasai Central Province","kr Mikalayi Zone de Santé","mikalayi","kasai central","mikalayi","mikalayi"
"362","mikope","kasai","Kasai Occidental","136","Mikope","Mikope","ks Kasai Province","ks Mikope Zone de Santé","mikope","kasai","mikope","mikope"
"363","mimia","mai-ndombe","Bandundu","138","Mimia","Mimia","md Maindombe Province","md Mimia Zone de Santé","mimia","mai-ndombe","mimia","mimia"
"364","minembwe","sud-kivu","Sud Kivu","371","Minembwe","Minembwe","sk Sud Kivu Province","sk Minembwe Zone de Santé","minembwe","sud kivu","minembwe",NA
"365","minga","sankuru","Kasai Oriental","96","Minga","Minga","sn Sankuru Province","sn Minga Zone de Santé","minga","sankuru","minga","minga"
"366","minova","sud-kivu","Sud Kivu","500","Minova","Minova","sk Sud Kivu Province","sk Minova Zone de Santé","minova","sud kivu","minova",NA
"367","miti-murhesa","sud-kivu","Sud Kivu","363","Miti Murhesa","Miti - Murhesa","sk Sud Kivu Province","sk Miti Murhesa Zone de Santé","miti-murhesa","sud kivu","miti-murhesa",NA
"368","mitwaba","haut-katanga","Katanga","347","Mitwaba","Mitwaba","hk Haut Katanga Province","hk Mitwaba Zone de Santé","mitwaba","haut-katanga","mitwaba","mitwaba"
"369","moanda","kongo-central","Bas-Congo","115","Moanda","Muanda","kc Kongo Central Province","kc Muanda Zone de Santé","muanda","bas congo","muanda","moanda"
"370","moaza","kwilu","Bandundu","157","Moaza","Moanza","kl Kwilu Province","kl Moanza Zone de Santé","moanza","kwilu","moanza","mwanza"
"371","moba","tanganyika","Katanga","111","Moba","Moba","tn Tanganyika Province","tn Moba Zone de Santé","moba","tanganyika","moba","moba"
"372","mobayi-mbongo","nord-ubangi","Equateur","433","Mobayi Mbongo","Mobayi","nu Nord Ubangi Province","nu Mobayi Mbongo Zone de Santé","mobayi mbongo","nord ubangi","mobayi-mbongo","mobayi"
"373","mokala","kwilu","Bandundu","239","Mokala","Mokala","kl Kwilu Province","kl Mokala Zone de Santé","mokala","kwilu","mokala","mokala"
"374","mompono","tshuapa","Equateur","307","Mompono","Mompono","tu Tshuapa Province","tu Mompono Zone de Santé","mompono","tshuapa","mompono","mompono"
"375","mondombe","tshuapa","Equateur","397","Mondombe","Mondombe","tu Tshuapa Province","tu Mondombe Zone de Santé","mondombe","tshuapa","mondombe","mondombe"
"376","monga","bas-uele","Province Oriental","435","Monga","Monga","bu Bas Uele Province","bu Monga Zone de Santé","monga","bas-uele","monga","monga"
"377","mongbwalu","ituri","Province Oriental","228","Mongbwalu","Mongbwalu","it Ituri Province","it Mongbwalu Zone de Santé","mongbwalu","ituri","mongbwalu","mongbwalu"
"378","monika","equateur","Equateur","300","Monika","Monieka","eq Equateur Province","eq Monieka Zone de Santé","monieka","equateur","monieka","monieka"
"379","monkoto","tshuapa","Equateur","458","Monkoto","Monkoto","tu Tshuapa Province","tu Monkoto Zone de Santé","monkoto","tshuapa","monkoto","monkoto"
"380","mont-ngafula-i","kinshasa","Kinshasa","246","Mont Ngafula I","Mont-Ngafula I","kn Kinshasa Province","kn Mont Ngafula 1 Zone de Santé","mont nga1","kinshasa","mont-ngafula-1","mont-ngafula-i"
"381","mont-ngafula-ii","kinshasa","Kinshasa","274","Mont Ngafula II","Mont-Ngafula II","kn Kinshasa Province","kn Mont Ngafula 2 Zone de Santé","mont nga 2","kinshasa","mont-ngafula-2","mont-ngafula-ii"
"382","mosango","kwilu","Bandundu","241","Mosango","Mosango","kl Kwilu Province","kl Mosango Zone de Santé","mosango","kwilu","mosango","mosango"
"383","mpokolo","kasai-oriental","Kasai Oriental","76","Mpokolo","Mpokolo","ke Kasai Oriental Province","ke Mpokolo Zone de Santé","mpokolo","kasai oriental","mpokolo","mpokolo"
"384","mubumbano","sud-kivu","Sud Kivu","199","Mubumbano","Mubumbano","sk Sud Kivu Province","sk Mubumbano Zone de Santé","mubumbano","sud kivu","mubumbano",NA
"385","mufunga-sampwe","haut-katanga","Katanga","344","Mufunga Sampwe","Mufunga-Sampwe","hk Haut Katanga Province","hk Mufunga Sampwe Zone de Santé","mufunga sampwe","haut-katanga","mufunga-sampwe","mufunga-s"
"386","mukanga","haut-lomami","Katanga","479","Mukanga","Mukanga","hl Haut Lomami Province","hl Mukanga Zone de Santé","mukanga","haut-lomami","mukanga","mukanga"
"387","mukedi","kwilu","Bandundu","463","Mukedi","Mukedi","kl Kwilu Province","kl Mukedi Zone de Santé","mukedi","kwilu","mukedi","mukedi"
"388","mukumbi","kasai-oriental","Kasai Oriental","88","Mukumbi","Mukumbi","ke Kasai Oriental Province","ke Mukumbi Zone de Santé","mukumbi","kasai oriental","mukumbi","mukumbi"
"389","mulongo","haut-lomami","Katanga","477","Mulongo","Mulongo","hl Haut Lomami Province","hl Mulongo Zone de Santé","mulongo","haut-lomami","mulongo","mulongo"
"390","mulumba","lomami","Kasai Oriental","82","Mulumba","Mulumba","lm Lomami Province","lm Mulumba Zone de Santé","mulumba","lomami","mulumba","mulumba"
"391","mulungu","sud-kivu","Sud Kivu","360","Mulungu","Mulungu","sk Sud Kivu Province","sk Mulungu Zone de Santé","mulungu","sud kivu","mulungu",NA
"392","mumbunda","haut-katanga","Haut Katanga","509","Mumbunda","NA","hk Haut Katanga Province","hk Mumbunda Zone de Santé","mumbunda","haut-katanga","mumbunda","mumbunda"
"393","mungindu","kwilu","Bandundu","238","Mungindu","Mungindu","kl Kwilu Province","kl Mungindu Zone de Santé","mungindu","kwilu","mungindu","mungindu"
"394","mushenge","kasai","Kasai Occidental","38","Mushenge","Mushenge","ks Kasai Province","ks Mushenge Zone de Santé","mushenge","kasai","mushenge","mushenge"
"395","mushie","mai-ndombe","Bandundu","164","Mushie","Mushie","md Maindombe Province","md Mushie Zone de Santé","mushie","mai-ndombe","mushie","mushie"
"396","musienene","nord-kivu","Nord Kivu","59","Musienene","Musienene","nk Nord Kivu Province","nk Musienene Zone de Santé","musienene","nord kivu","musienene",NA
"397","musuika","kasai-central","Kasai Occidental","10","Musuika","Masuika","kr Kasai Central Province","kr Masuika Zone de Santé","masuika","kasai central","masuika","masuika"
"398","mutenna","kasai","Kasai Occidental","13","Mutenna","Mutena","ks Kasai Province","ks Mutena Zone de Santé","mutena","kasai","mutena","mutena"
"399","mutoto","kasai-central","Kasai Occidental","26","Mutoto","Mutoto","kr Kasai Central Province","kr Mutoto Zone de Santé","mutoto","kasai central","mutoto","mutoto"
"400","mutshatsha","lualaba","Katanga","468","Mutshatsha","Mutshatsha","ll Lualaba Province","ll Mutshatsha Zone de Santé","mutshatsha","lualaba","mutshatsha","muthsatsha"
"401","mutwanga","nord-kivu","Nord Kivu","50","Mutwanga","Mutwanga","nk Nord Kivu Province","nk Mutwanga Zone de Santé","mutwanga","nord kivu","mutwanga",NA
"402","muya","kasai-oriental","Kasai Oriental","73","Muya","Muya","ke Kasai Oriental Province","ke Muya Zone de Santé","muya","kasai oriental","muya","muya"
"403","mwana","sud-kivu","Sud Kivu","192","Mwana","Mwana","sk Sud Kivu Province","sk Mwana Zone de Santé","mwana","sud kivu","mwana",NA
"404","mweka","kasai","Kasai Occidental","29","Mweka","Mweka","ks Kasai Province","ks Mweka Zone de Santé","mweka","kasai","mweka","mweka"
"405","mwela-lemba","kwango","Bandundu","151","Mwela Lemba","Mwela Lembwa","kg Kwango Province","kg Mwela Lembwa Zone de Santé","mwela lembwa","kwango","mwela-lembwa","mwela-lembwa"
"406","mwene-ditu","lomami","Kasai Oriental","43","Mwene Ditu","Mwene-Ditu","lm Lomami Province","lm Mweneditu Zone de Santé","muene ditu","lomami","mweneditu","mwene-ditu"
"407","mwenga","sud-kivu","Sud Kivu","369","Mwenga","Mwenga","sk Sud Kivu Province","sk Mwenga Zone de Santé","mwenga","sud kivu","mwenga",NA
"408","mweso","nord-kivu","Nord Kivu","106","Mweso","Mweso","nk Nord Kivu Province","nk Mweso Zone de Santé","mweso","nord kivu","mweso",NA
"409","mwetshi","kasai-central","Kasai Occidental","36","Mwetshi","Muetshi","kr Kasai Central Province","kr Muetshi Zone de Santé","mwetshi","kasai central","muetshi","mwetshi"
"410","ndage","sud-ubangi","Equateur","318","Ndage","Ndage","su Sud Ubangi Province","su Ndage Zone de Santé","ndage","sud ubangi","ndage","ndage"
"411","ndekesha","kasai-central","Kasai Occidental","14","Ndekesha","Ndekesha","kr Kasai Central Province","kr Ndekesha Zone de Santé","ndekesha","kasai central","ndekesha","ndekesha"
"412","ndesha","kasai-central","Kasai Occidental","20","Ndesha","Ndesha","kr Kasai Central Province","kr Ndesha Zone de Santé","ndesha","kasai central","ndesha","ndesha"
"413","ndjili","kinshasa","Kinshasa","245","Ndjili","Ndjili","kn Kinshasa Province","kn Ndjili Zone de Santé","ndjili","kinshasa","ndjili","ndjili"
"414","ndjoko-punda","kasai","Kasai Occidental","23","Ndjoko Punda","Ndjoku Punda","ks Kasai Province","ks Ndjoko Mpunda Zone de Santé","ndjoko mpunda","kasai","ndjoko-mpunda","ndjoko-punda"
"415","ngaba","kinshasa","Kinshasa","260","Ngaba","Ngaba","kn Kinshasa Province","kn Ngaba Zone de Santé","ngaba","kinshasa","ngaba","ngaba"
"416","ngandajika","lomami","Kasai Oriental","84","Ngandajika","Gandajika","lm Lomami Province","lm NGandajika Zone de Santé","gandajika","lomami","ngandajika","ngandajika"
"417","ngidinga","kongo-central","Bas-Congo","128","Ngidinga","Ngidinga","kc Kongo Central Province","kc Ngidinga Zone de Santé","ngidinga","bas congo","ngidinga","ngidinga"
"418","ngiri-ngiri","kinshasa","Kinshasa","269","Ngiri_Ngiri","Ngiri-Ngiri","kn Kinshasa Province","kn Ngiri Ngiri Zone de Santé","ngiri ngiri","kinshasa","ngiri-ngiri","ngiri--ngiri"
"419","niangara","haut-uele","Province Oriental","188","Niangara","Niangara","hu Haut Uele Province","hu Niangara Zone de Santé","niangara","haut-uele","niangara","niangara"
"420","niania","ituri","Province Oriental","211","Niania","Nia-Nia","it Ituri Province","it Nia Nia Zone de Santé","nia nia","ituri","nia-nia","niania"
"421","nioki","mai-ndombe","Bandundu","135","Nioki","Nioki","md Maindombe Province","md Nioki Zone de Santé","nioki","mai-ndombe","nioki","nioki"
"422","nizi","ituri","Province Oriental","173","Nizi","Nizi","it Ituri Province","it Nizi Zone de Santé","nizi","ituri","nizi","nizi"
"423","nsele","kinshasa","Kinshasa","276","Nsele","Nsele","kn Kinshasa Province","kn Nsele Zone de Santé","nsele","kinshasa","nsele",NA
"424","nselo","kongo-central","Bas-Congo","129","Nselo","Nselo","kc Kongo Central Province","kc Nselo Zone de Santé","nselo","bas congo","nselo","nselo"
"425","ntondo","equateur","Equateur","296","Ntondo","Ntondo","eq Equateur Province","eq Ntondo Zone de Santé","ntondo","equateur","ntondo","ntondo"
"426","nundu","sud-kivu","Sud Kivu","372","Nundu","Nundu","sk Sud Kivu Province","sk Nundu Zone de Santé","nundu","sud kivu","nundu",NA
"427","nyakunde","ituri","Province Oriental","180","Nyakunde","Nyankunde","it Ituri Province","it Nyankunde Zone de Santé","nyakunde","ituri","nyankunde","nyankunde"
"428","nyanga","kasai","Kasai Occidental","7","Nyanga","Nyanga","ks Kasai Province","ks Nyanga Zone de Santé","nyanga","kasai","nyanga","nyanga"
"429","nyangezi","sud-kivu","Sud Kivu","195","Nyangezi","Nyangezi","sk Sud Kivu Province","sk Nyangezi Zone de Santé","nyangezi","sud kivu","nyangezi",NA
"430","nyarambe","ituri","Province Oriental","280","Nyarambe","Nyarambe","it Ituri Province","it Nyarambe Zone de Santé","nyarambe","ituri","nyarambe","nyarambe"
"431","nyatende","sud-kivu","Sud Kivu","194","Nyatende","Nyantende","sk Sud Kivu Province","sk Nyantende Zone de Santé","nyantende","sud kivu","nyantende",NA
"432","nyemba","tanganyika","Katanga","378","Nyemba","Nyemba","tn Tanganyika Province","tn Nyemba Zone de Santé","nyemba","tanganyika","nyemba","nyemba"
"433","nyiragongo","nord-kivu","Nord Kivu","502","Nyiragongo","NA","nk Nord Kivu Province","nk Nyiragongo Zone de Santé","nyiragongo","nord kivu","nyiragongo",NA
"434","nyunzu","tanganyika","Katanga","380","Nyunzu","Nyunzu","tn Tanganyika Province","tn Nyunzu Zone de Santé","nyunzu","tanganyika","nyunzu","nyunzu"
"435","nzaba","kasai-oriental","Kasai Oriental","67","Nzaba","Nzaba","ke Kasai Oriental Province","ke Nzaba Zone de Santé","nzaba","kasai oriental","nzaba","nzaba"
"436","nzanza","kongo-central","Bas-Congo","244","Nzanza","Nzanza","kc Kongo Central Province","kc Nzanza Zone de Santé","nzanza","bas congo","nzanza","nzanza"
"437","obokote","maniema","Maniema","401","Obokote","Obokote","mn Maniema Province","mn Obokote Zone de Santé","obokote","maniema","obokote","obokote"
"438","oicha","nord-kivu","Nord Kivu","52","Oicha","Oicha","nk Nord Kivu Province","nk Oicha Zone de Santé","oicha","nord kivu","oicha",NA
"439","omondjadi","sankuru","Kasai Oriental","101","Omondjadi","Omendjadi","sn Sankuru Province","sn Omendjadi Zone de Santé","omondjadi","sankuru","omendjadi","omedjadi"
"440","opala","tshopo","Province Oriental","451","Opala","Opala","tp Tshopo Province","tp Opala Zone de Santé","opala","tshopo","opala","opala"
"441","opienge","tshopo","Province Oriental","400","Opienge","Opienge","tp Tshopo Province","tp Opienge Zone de Santé","opienge","tshopo","opienge","opienge"
"442","oshwe","mai-ndombe","Bandundu","137","Oshwe","Oshwe","md Maindombe Province","md Oshwe Zone de Santé","oshwe","mai-ndombe","oshwe","oshwe"
"443","ototo","sankuru","NA","NA","NA","NA","sn Sankuru Province","sn Ototo Zone de Santé","ototo","sankuru","ototo","ototo"
"444","panda","haut-katanga","Katanga","353","Panda","Panda","hk Haut Katanga Province","hk Panda Zone de Santé","panda","haut-katanga","panda","panda"
"445","pangi","maniema","Maniema","383","Pangi","Pangi","mn Maniema Province","mn Pangi Zone de Santé","pangi","maniema","pangi","pangi"
"446","pania-mutombo","sankuru","Kasai Oriental","95","Pania Mutombo","Pania Mutombo","sn Sankuru Province","sn Pania Mutombo Zone de Santé","pania mutombo","sankuru","pania-mutombo","mpanya-mutombo"
"447","panzi","kwango","Bandundu","155","Panzi","Panzi","kg Kwango Province","kg Panzi Zone de Santé","panzi","kwango","panzi","panzi"
"448","pawa","haut-uele","Province Oriental","167","Pawa","Pawa","hu Haut Uele Province","hu Pawa Zone de Santé","pawa","haut-uele","pawa","pawa"
"449","pay-kongila","kwilu","Bandundu","242","Pay Kongila","Pay Kongila","kl Kwilu Province","kl Pay Kongila Zone de Santé","pay kongila","kwilu","pay-kongila","pay-kongila"
"450","penzwa","mai-ndombe","Bandundu","162","Penzwa","Pendjua","md Maindombe Province","md Pendjwa Zone de Santé","pendjwa","mai-ndombe","pendjwa","pendjwa"
"451","pimu","mongala","Equateur","1","Pimu","Pimu","mg Mongala Province","mg Pimu Zone de Santé","pimu","mongala","pimu","pimu"
"452","pinga","nord-kivu","Nord Kivu","108","Pinga","Pinga","nk Nord Kivu Province","nk Pinga Zone de Santé","pinga","nord kivu","pinga",NA
"453","poko","bas-uele","Province Oriental","191","Poko","Poko","bu Bas Uele Province","bu Poko Zone de Santé","poko","bas-uele","poko","poko"
"454","police","kinshasa","Kinshasa","329","Police","Police","kn Kinshasa Province","kn Police Zone de Santé","police","kinshasa","police","police"
"455","popokabaka","kwango","Bandundu","408","Popokabaka","Popokabaka","kg Kwango Province","kg Popokabaka Zone de Santé","popokabaka","kwango","popokabaka","popokabaka"
"456","punia","maniema","Maniema","449","Punia","Punia","mn Maniema Province","mn Punia Zone de Santé","punia","maniema","punia","punia"
"457","pweto","haut-katanga","Katanga","340","Pweto","Pweto","hk Haut Katanga Province","hk Pweto Zone de Santé","pweto","haut-katanga","pweto","pweto"
"458","rethy","ituri","Province Oriental","277","Rethy","Rethy","it Ituri Province","it Rethy Zone de Santé","rethy","ituri","rethy","rethy"
"459","rimba","ituri","Province Oriental","181","Rimba","Rimba","it Ituri Province","it Rimba Zone de Santé","rimba","ituri","rimba","rimba"
"460","ruashi","haut-katanga","Haut Katanga","513","Ruashi","NA","hk Haut Katanga Province","hk Ruashi Zone de Santé","rwashi","haut-katanga","ruashi","ruashi"
"461","rungu","haut-uele","Province Oriental","189","Rungu","Rungu","hu Haut Uele Province","hu Rungu Zone de Santé","rungu","haut-uele","rungu","rungu"
"462","rutshuru","nord-kivu","Nord Kivu","506","Rutshuru","Rutshuru","nk Nord Kivu Province","nk Rutshuru Zone de Santé","rutshuru","nord kivu","rutshuru",NA
"463","ruzizi","sud-kivu","Sud Kivu","373","Ruzizi","Ruzizi","sk Sud Kivu Province","sk Ruzizi Zone de Santé","ruzizi","sud kivu","ruzizi",NA
"464","rwampara","ituri","Province Oriental","171","Rwampara","Rwampara","it Ituri Province","it Rwampara Zone de Santé","rwampara","ituri","rwampara","rwampara"
"465","rwanguba","nord-kivu","Nord Kivu","505","Rwanguba","Rwanguba","nk Nord Kivu Province","nk Rwanguba Zone de Santé","rwanguba","nord kivu","rwanguba",NA
"466","sakania","haut-katanga","Katanga","482","Sakania","Sakania","hk Haut Katanga Province","hk Sakania Zone de Santé","sakanya","haut-katanga","sakania","sakania"
"467","salamabila","maniema","Maniema","375","Salamabila","Salamabila","mn Maniema Province","mn Saramabila Zone de Santé","saramabil","maniema","saramabila","salamabila"
"468","samba","maniema","Maniema","355","Samba","Samba","mn Maniema Province","mn Samba Zone de Santé","samba","maniema","samba","samba"
"469","sandoa","lualaba","Katanga","489","Sandoa","Sandoa","ll Lualaba Province","ll Sandoa Zone de Santé","sandoa","lualaba","sandoa","sandoa"
"470","seke-banza","kongo-central","Bas-Congo","119","Seke Banza","Sekebanza","kc Kongo Central Province","kc Seke Banza Zone de Santé","seke banza","bas congo","seke-banza","seke-banza"
"471","selembao","kinshasa","Kinshasa","262","Selembao","Selembao","kn Kinshasa Province","kn Selembao Zone de Santé","selembao","kinshasa","selembao","selembao"
"472","shabunda","sud-kivu","Sud Kivu","447","Shabunda","Shabunda Centre","sk Sud Kivu Province","sk Shabunda Zone de Santé","shabunda","sud kivu","shabunda",NA
"473","sia","kwilu","Bandundu","237","Sia","Sia","kl Kwilu Province","kl Sia Zone de Santé","sia","kwilu","sia","sia"
"474","sona-bata","kongo-central","Bas-Congo","275","Sona Bata","Sona-Bata","kc Kongo Central Province","kc Sona Bata Zone de Santé","sona bata","bas congo","sona-bata","sona-bata"
"475","sona-pangu","kongo-central","Bas-Congo","412","Sona Pangu","Nsona-Pangu","kc Kongo Central Province","kc Nsona Mpangu Zone de Santé","nsona mpangu","bas congo","nsona-mpangu","nsona-mpangu"
"476","songa","haut-lomami","Katanga","473","Songa","Songa","hl Haut Lomami Province","hl Songa Zone de Santé","songa","haut-lomami","songa","songa"
"477","tandala","sud-ubangi","Equateur","324","Tandala","Tandala","su Sud Ubangi Province","su Tandala Zone de Santé","tandala","sud ubangi","tandala","tandala"
"478","tandembele","mai-ndombe","Bandundu","165","Tandembele","Ntand Embelo","md Maindombe Province","md Ntandembelo Zone de Santé","ntandembele","mai-ndombe","ntandembelo","ntandambelo"
"479","tchomia","ituri","Province Oriental","185","Tchomia","Tchomia","it Ituri Province","it Tchomia Zone de Santé","tshomia","ituri","tchomia","tchomia"
"480","tembo","kwango","Bandundu","156","Tembo","Tembo","kg Kwango Province","kg Tembo Zone de Santé","tembo","kwango","tembo","tembo"
"481","titule","bas-uele","Province Oriental","217","Titule","Titule","bu Bas Uele Province","bu Titule Zone de Santé","titule","bas-uele","titule","titule"
"482","tshamilemba","haut-katanga","Haut Katanga","511","Tshamilemba","NA","hk Haut Katanga Province","hk Tshamilemba Zone de Santé","tshamilemba","haut-katanga","tshamilemba","tshamilemba"
"483","tshamilemba","haut-katanga","Haut Katanga","515","Tshamilemba","NA","hk Haut Katanga Province","hk Tshamilemba Zone de Santé","tshamilemba","haut-katanga","tshamilemba","tshamilemba"
"484","tshela","kongo-central","Bas-Congo","122","Tshela","Tshela","kc Kongo Central Province","kc Tshela Zone de Santé","tshela","bas congo","tshela","tshela"
"485","tshibala","kasai-central","Kasai Occidental","15","Tshibala","Tshibala","kr Kasai Central Province","kr Tshibala Zone de Santé","tshibala","kasai central","tshibala","tshibala"
"486","tshikaji","kasai-central","Kasai Occidental","289","Tshikaji","Tshikaji","kr Kasai Central Province","kr Tshikaji Zone de Santé","tshikaji","kasai central","tshikaji","tshikaji"
"487","tshikapa","kasai","Kasai Occidental","285","Tshikapa","Tshikapa","ks Kasai Province","ks Tshikapa Zone de Santé","tshikapa","kasai","tshikapa","tshikapa"
"488","tshikula","kasai-central","Kasai Occidental","19","Tshikula","Tshikula","kr Kasai Central Province","kr Tshikula Zone de Santé","tshikula","kasai central","tshikula","tshikula"
"489","tshilenge","kasai-oriental","Kasai Oriental","86","Tshilenge","Tshilenge","ke Kasai Oriental Province","ke Tshilenge Zone de Santé","tshilenge","kasai oriental","tshilenge","tshilenge"
"490","tshilundu","kasai-oriental","Kasai Oriental","80","Tshilundu","Cilundu","ke Kasai Oriental Province","ke Cilundu Zone de Santé","cilundu","kasai oriental","cilundu","tshilundu"
"491","tshitenge","kasai-oriental","Kasai Oriental","87","Tshitenge","Citenge","ke Kasai Oriental Province","ke Citenge Zone de Santé","tshitenge","kasai oriental","citenge","tshitenge"
"492","tshitshimbi","kasai-oriental","Kasai Oriental","81","Tshitshimbi","Tshishimbi","ke Kasai Oriental Province","ke Tshishimbi Zone de Santé","tshitshimbi","kasai oriental","tshishimbi","tshishimbi"
"493","tshofa","lomami","Kasai Oriental","94","Tshofa","Tshofa","lm Lomami Province","lm Tshofa Zone de Santé","tshofa","lomami","tshofa","tshiofa"
"494","tshopo","tshopo","Province Oriental","335","Tshopo","Tshopo","tp Tshopo Province","tp Tshopo Zone de Santé","tshopo","tshopo","tshopo","tshopo"
"495","tshudi-loto","sankuru","Kasai Oriental","456","Tshudi Loto","Tshudi-Loto","sn Sankuru Province","sn Tshudi Loto Zone de Santé","tshudi loto","sankuru","tshudi-loto","tshudi-loto"
"496","tshumbe","sankuru","NA","NA","NA","NA","sn Sankuru Province","sn Tshumbe Zone de Santé","tshumbe","sankuru","tshumbe","tshumbe"
"497","tumba","maniema","Maniema","359","Tumba","Tunda","mn Maniema Province","mn Tunda Zone de Santé","tunda","maniema","tunda","tunda"
"498","ubundu","tshopo","Province Oriental","207","Ubundu","Ubundu","tp Tshopo Province","tp Ubundu Zone de Santé","ubundu","tshopo","ubundu","ubundu"
"499","uvira","sud-kivu","Sud Kivu","366","Uvira","NA","sk Sud Kivu Province","sk Uvira Zone de Santé","bijombo","sud kivu","uvira",NA
"500","uvira","sud-kivu","Sud Kivu","201","Haut Plateau","Hauts Plateaux","sk Sud Kivu Province","sk Haut Plateau Zone de Santé","uvira","sud kivu","haut-plateau",NA
"501","uvira","sud-kivu","Sud Kivu","366","Uvira","Uvira","sk Sud Kivu Province","sk Uvira Zone de Santé","uvira","sud kivu","uvira",NA
"502","vaku","kongo-central","Bas-Congo","123","Vaku","Vaku","kc Kongo Central Province","kc Vaku Zone de Santé","vaku","bas congo","vaku","vaku"
"503","vanga","kwilu","Bandundu","235","Vanga","Vanga","kl Kwilu Province","kl Vanga Zone de Santé","vanga","kwilu","vanga","vanga"
"504","vanga-kete","sankuru","Kasai Oriental","99","Vanga Kete","Vanga-Kete","sn Sankuru Province","sn Vanga Kete Zone de Santé","vanga kete","sankuru","vanga-kete","vangakete"
"505","vangu","haut-katanga","Katanga","493","Vangu","Vangu","hk Haut Katanga Province","hk Vangu Zone de Santé","vangu","haut-katanga","vangu","vangu"
"506","viandana","bas-uele","Province Oriental","190","Viandana","Viadana","bu Bas Uele Province","bu Viadana Zone de Santé","viadana","bas-uele","viadana","viadana"
"507","vohovi","nord-kivu","Nord Kivu","58","Vohovi","Vuhovi","nk Nord Kivu Province","nk Vuhovi Zone de Santé","vuhovi","nord kivu","vuhovi",NA
"508","walikale","nord-kivu","Nord Kivu","109","Walikale","Walikale","nk Nord Kivu Province","nk Walikale Zone de Santé","walikale","nord kivu","walikale",NA
"509","walungu","sud-kivu","Sud Kivu","200","Walungu","Walungu","sk Sud Kivu Province","sk Walungu Zone de Santé","walungu","sud kivu","walungu",NA
"510","wamba","haut-uele","Province Oriental","227","Wamba","Wamba","hu Haut Uele Province","hu Wamba Zone de Santé","wamba","haut-uele","wamba","wamba"
"511","wamba-lwadi","kwango","Bandundu","154","Wamba Lwadi","Wamba luadi","kg Kwango Province","kg Wamba Lwadi Zone de Santé","wamba luadi","kwango","wamba-lwadi","wamba-lwadi"
"512","wangata","equateur","Equateur","230","Wangata","Wangata","eq Equateur Province","eq Wangata Zone de Santé","wangata","equateur","wangata",NA
"513","wanie-rukula","tshopo","Province Oriental","404","Wanie Rukula","Wanie-Rukula","tp Tshopo Province","tp Wanierukula Zone de Santé","wanierukula","tshopo","wanierukula","wanierukula"
"514","wapinda","nord-ubangi","Equateur","393","wapinda","Wapinda","nu Nord Ubangi Province","nu Wapinda Zone de Santé","wapinda","nord ubangi","wapinda","wapinda"
"515","wasolo","nord-ubangi","Equateur","385","Wasolo","Wasolo","nu Nord Ubangi Province","nu Wasolo Zone de Santé","wasolo","nord ubangi","wasolo","wasolo"
